Category,Food Name,Alternative Name,Chinese Terms,English Terms
穀物類,"稉米平均值","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米平均值 蓬萊米 圓米 蓬莱米 圆米,short grain rice average japonica
穀物類,"稉米(台中189號)","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米 台中 號 蓬萊米 圓米 号 蓬莱米 圆米,short grain rice japonica (taichung no. 189)
穀物類,"稉米(台南11號)","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米 台南 號 蓬萊米 圓米 号 蓬莱米 圆米,short grain rice japonica (tainan no. 11)
穀物類,"稉米(台稉2號)","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米 台稉 號 蓬萊米 圓米 号 蓬莱米 圆米,short grain rice japonica (taiwan no. 2)
穀物類,"稉米(台稉8號)","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米 台稉 號 蓬萊米 圓米 号 蓬莱米 圆米,short grain rice japonica (taiwan no. 8)
穀物類,"稉米(台稉9號)","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米 台稉 號 蓬萊米 圓米 号 蓬莱米 圆米,short grain rice japonica (taiwan no. 9)
穀物類,"稉米(台農71號)","蓬萊米,圓米,益全香米 Short grain rice",穀物類 谷物类 稉米 台農 號 蓬萊米 圓米 益全香米 台农 号 蓬莱米 圆米,short grain rice japonica (tainong 71)
穀物類,"稉米(高雄139號)","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米 高雄 號 蓬萊米 圓米 号 蓬莱米 圆米,short grain rice japonica (no. 139, kaohsiung)
穀物類,"稉米(高雄142號)","蓬萊米,圓米 Short grain rice",穀物類 谷物类 稉米 高雄 號 蓬萊米 圓米 号 蓬莱米 圆米,short grain rice japonica (no. 142, kaohsiung)
穀物類,"稉米(高雄145號)","蓬萊米 Short grain rice",穀物類 谷物类 稉米 高雄 號 蓬萊米 号 蓬莱米,short grain rice japonica (no. 145, kaohsiung)
穀物類,"稉米(高雄139號)(2021年取樣)","蓬萊米,圓米 Rice (Kaohsiung 139)",穀物類 谷物类 稉米 高雄 號 年取樣 蓬萊米 圓米 号 年取样 蓬莱米 圆米,rice kaohsiung japonica (kaohsiung no. 139) (sampled in 2021)
穀物類,"越光米","蓬萊米,圓米 Rice Tainan 16",穀物類 谷物类 越光米 蓬萊米 圓米 蓬莱米 圆米,rice tainan koshihikari
穀物類,"越光米(台南16號)(2024年取樣)","蓬萊米,圓米 Rice Tainan 16",穀物類 谷物类 越光米 台南 號 年取樣 蓬萊米 圓米 号 年取样 蓬莱米 圆米,rice tainan koshihikari (tainan no. 16) (sampled in 2024)
穀物類,"秈型糯米(台中糯70號)","長糯米 White glutinous rice: long-grain",穀物類 谷物类 秈型糯米 台中糯 號 長糯米 籼型糯米 号 长糯米,white glutinous rice long grain indica (taichung no. 70)
穀物類,"稉型糯米平均值","圓糯米 White glutinous rice, short-grain",穀物類 谷物类 稉型糯米平均值 圓糯米 圆糯米,white glutinous rice short grain average value of
穀物類,"稉型糯米","圓糯米 White glutinous rice, short-grain",穀物類 谷物类 稉型糯米 圓糯米 圆糯米,white glutinous rice short grain japonica
穀物類,"稉型糯米(台稉糯1號)","圓糯米 White glutinous rice, short-grain",穀物類 谷物类 稉型糯米 台稉糯 號 圓糯米 号 圆糯米,white glutinous rice short grain japonica (taiwan no. 1)
穀物類,"野生紅米"," Red rice",穀物類 谷物类 野生紅米 野生红米,red rice wild
穀物類,"紅糯糙米"," Red glutinous rice",穀物類 谷物类 紅糯糙米 红糯糙米,red glutinous rice brown
穀物類,"黑秈糯糙米","黑糯米,紫糯米,紫米,貢米,長生米 Black glutinous rice, long-grain",穀物類 谷物类 黑秈糯糙米 黑糯米 紫糯米 紫米 貢米 長生米 黑籼糯糙米 贡米 长生米,black glutinous rice long grain brown
穀物類,"胚芽秈米(台中秈10號)"," Germ rice; Rice with germ; Milled rice with embryo",穀物類 谷物类 胚芽秈米 台中秈 號 胚芽籼米 台中籼 号,germ rice with milled embryo indica (taichung no. 10)
穀物類,"胚芽稉米平均值"," Germ rice; Rice with germ; Milled rice with embryo",穀物類 谷物类 胚芽稉米平均值,germ rice with milled embryo average value of japonica
穀物類,"胚芽稉米(台稉10號）"," Germ rice; Rice with germ; Milled rice with embryo",穀物類 谷物类 胚芽稉米 台稉 號 号,germ rice with milled embryo japonica (taiwan no. 10)
穀物類,"胚芽稉米(台稉9號)"," Germ rice; Rice with germ; Milled rice with embryo",穀物類 谷物类 胚芽稉米 台稉 號 号,germ rice with milled embryo japonica (taiwan no. 9)
穀物類,"發芽稉米平均值","發芽糙米 Sprout rice",穀物類 谷物类 發芽稉米平均值 發芽糙米 发芽稉米平均值 发芽糙米,sprout rice average value of germinated japonica
穀物類,"發芽稉米(台稉71號)","發芽糙米,益全香米發芽米 Sprout rice",穀物類 谷物类 發芽稉米 台稉 號 發芽糙米 益全香米發芽米 发芽稉米 号 发芽糙米 益全香米发芽米,sprout rice sprouted japonica (taiwan 71)
穀物類,"發芽稉米(台稉9號）","發芽糙米 Sprout rice",穀物類 谷物类 發芽稉米 台稉 號 發芽糙米 发芽稉米 号 发芽糙米,sprout rice sprouted japonica (taiwan no. 9)
穀物類,"糙秈米","糙米 Brown rice",穀物類 谷物类 糙秈米 糙米 糙籼米,brown rice indica
穀物類,"糙稉米平均值","糙米 Brown rice",穀物類 谷物类 糙稉米平均值 糙米,brown rice average value of rough japonica
穀物類,"糙稉米(台稉71號)","益全香米糙米 Brown rice",穀物類 谷物类 糙稉米 台稉 號 益全香米糙米 号,brown rice japonica (taiwan 71)
穀物類,"糙稉米(台稉9號)","糙米 Brown rice",穀物類 谷物类 糙稉米 台稉 號 糙米 号,brown rice japonica (taiwan no. 9)
穀物類,"黑秈糙米","黑米 Black kerneled rice",穀物類 谷物类 黑秈糙米 黑米 黑籼糙米,black kerneled rice indica brown
穀物類,"加鈣米"," Short grain rice: calcium enriched",穀物類 谷物类 加鈣米 加钙米,short grain rice calcium enriched calcium-fortified
穀物類,"高纖米","高纖蓬萊米 Short grain rice",穀物類 谷物类 高纖米 高纖蓬萊米 高纤米 高纤蓬莱米,short grain rice high fiber
穀物類,"五穀米"," Multigrain rice",穀物類 谷物类 五谷米,multigrain rice whole
穀物類,"米胚芽"," Rice germ",穀物類 谷物类 米胚芽,rice germ
穀物類,"秈米粉","在來米粉 Long-grain rice powder",穀物類 谷物类 秈米粉 在來米粉 籼米粉 在来米粉,long grain rice powder indica flour
穀物類,"糙米粉"," Brown rice powder",穀物類 谷物类 糙米粉,brown rice powder flour
穀物類,"白糯米粉"," White-glutinous rice powder",穀物類 谷物类 白糯米粉,white glutinous rice powder flour
穀物類,"白飯"," Cooked rice",穀物類 谷物类 白飯 白饭,cooked rice (cooked)
穀物類,"高梁"," Sorghum; Kao-lian",穀物類 谷物类 高梁,sorghum kao lian
穀物類,"糯高梁"," Sorghum: glutinous; Kao-lian: glutinous",穀物類 谷物类 糯高梁,sorghum glutinous kao lian
穀物類,"黑麥片"," Rye",穀物類 谷物类 黑麥片 黑麦片,rye flakes
穀物類,"燕麥"," Oat",穀物類 谷物类 燕麥 燕麦,oat
穀物類,"燕麥片"," Oatmeal",穀物類 谷物类 燕麥片 燕麦片,oatmeal
穀物類,"即食燕麥片"," Instant oatmeal",穀物類 谷物类 即食燕麥片 即食燕麦片,instant oatmeal
穀物類,"蕎麥(甜蕎)","三角米 Buckwheat",穀物類 谷物类 蕎麥 甜蕎 三角米 荞麦 甜荞,buckwheat (sweet buckwheat)
穀物類,"薏仁","薏仁,薏苡仁 Adlay; Job's tears",穀物類 谷物类 薏仁 薏苡仁,adlay job s tears job's
穀物類,"糙薏仁","紅薏仁 Adlay; Job's tears",穀物類 谷物类 糙薏仁 紅薏仁 红薏仁,adlay job s tears job's
穀物類,"薏仁粉"," Adlay powder; Job's tears powder",穀物類 谷物类 薏仁粉,adlay powder job s tears job's
穀物類,"紅藜麥"," Red quinoa",穀物類 谷物类 紅藜麥 红藜麦,red quinoa
穀物類,"台灣藜(紅)(帶殼)","藜,赤藜,紫藜,紅心藜,紅藜,食用藜 Taiwan Red quinoa",穀物類 谷物类 台灣藜 紅 帶殼 赤藜 紫藜 紅心藜 紅藜 食用藜 台湾藜 红 带壳 红心藜 红藜,taiwan red quinoa (red) (with shell)
澱粉類,"淮山","山芋,山薯,田薯,薯蕷,長薯 Chinese yam",澱粉類 淀粉类 淮山 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯长藷长薯,chinese yam
澱粉類,"山藥平均值","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam",澱粉類 淀粉类 山藥平均值 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药平均值 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam average
澱粉類,"山藥(二刺)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Ell-Tsyh",澱粉類 淀粉类 山藥 二刺 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam ell tsyh (two thorns)
澱粉類,"山藥(大汕1號)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Da-Shan 1",澱粉類 淀粉类 山藥 大汕 號 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 号 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam da shan (dashan no. 1)
澱粉類,"山藥(大汕3號)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Da-Shen 3",澱粉類 淀粉类 山藥 大汕 號 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 号 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam da shen (dashan no. 3)
澱粉類,"山藥(大刺)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Da-Tsyh",澱粉類 淀粉类 山藥 大刺 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam da tsyh (large thorn)
澱粉類,"山藥(中國長品)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Tong-Gwo-Taang-Piin",澱粉類 淀粉类 山藥 中國長品 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 中国长品 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam tong gwo taang piin (chinese long-term product)
澱粉類,"山藥(台農1號)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: TNu 1",澱粉類 淀粉类 山藥 台農 號 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 台农 号 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam tnu (tainong no. 1)
澱粉類,"山藥(台農2號)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: TNu 2",澱粉類 淀粉类 山藥 台農 號 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 台农 号 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam tnu (tainong no. 2)
澱粉類,"山藥(白皮削)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Bair-Pyi-Shiau",澱粉類 淀粉类 山藥 白皮削 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam bair pyi shiau (white peeled)
澱粉類,"山藥(尖石原生種)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Jian-Shyr",澱粉類 淀粉类 山藥 尖石原生種 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 尖石原生种 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam jian shyr (jianshi native species)
澱粉類,"山藥(宜蘭原生種)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Yi-Lan",澱粉類 淀粉类 山藥 宜蘭原生種 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 宜兰原生种 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam yi lan (yilan native species)
澱粉類,"山藥(花蓮3號)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Hua-Lian 3",澱粉類 淀粉类 山藥 花蓮 號 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 花莲 号 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam hua lian (hualien no. 3)
澱粉類,"山藥(青森)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Ching-Sen",澱粉類 淀粉类 山藥 青森 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam ching sen (aomori)
澱粉類,"山藥(高田)","山芋,山薯,田薯,薯蕷,長薯;淮山 Chinese yam: Gau-Tyan",澱粉類 淀粉类 山藥 高田 山芋 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 淮山 山药 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯,chinese yam gau tyan (takata)
澱粉類,"山藥(白肉)","日本山藥 Chinese yam: Gau-Tyan",澱粉類 淀粉类 山藥 白肉 日本山藥 山药 日本山药,chinese yam gau tyan (white meat)
澱粉類,"紫山藥","山薯,田薯,薯蕷,長薯,血薯;淮山 Chinese yam: Horng-Shuu",澱粉類 淀粉类 紫山藥 山薯 山藷 山薯 田薯 田藷 田薯 薯蕷 藷蕷 薯蕷 長薯 長藷 長薯 血薯 血藷 血薯 淮山 紫山药 山藷 山薯 田藷 田薯 薯蓣 藷蓣 薯蓣 长薯 长藷 长薯 血藷 血薯,chinese yam horng shuu purple
澱粉類,"木薯粉","樹薯粉 Cassava starch; Tapioca",澱粉類 淀粉类 木薯粉 木藷粉 木薯粉 樹薯粉 樹藷粉 樹薯粉 木藷粉 木薯粉 树薯粉树藷粉树薯粉,cassava starch tapioca flour
澱粉類,"白皮甘藷","甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯 Sweet potato",澱粉類 淀粉类 白皮甘薯 白皮甘藷 白皮甘薯 甘藷 甘薯 番薯 番藷 番薯 甜薯 甜藷 甜薯 地瓜 田薯 田藷 田薯 土薯 土藷 土薯 白薯 白藷 白薯 白皮甘藷 白皮甘薯 甘藷 甘薯 番藷 番薯 甜藷 甜薯 田藷 田薯 土藷 土薯 白藷白薯,sweet potato white
澱粉類,"菱角牛奶甘藷","甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯 Sweet potato",澱粉類 淀粉类 菱角牛奶甘薯 菱角牛奶甘藷 菱角牛奶甘薯 甘藷 甘薯 番薯 番藷 番薯 甜薯 甜藷 甜薯 地瓜 田薯 田藷 田薯 土薯 土藷 土薯 白薯 白藷 白薯 菱角牛奶甘藷 菱角牛奶甘薯 甘藷 甘薯 番藷 番薯 甜藷 甜薯 田藷 田薯 土藷 土薯 白藷白薯,sweet potato water chestnut milk
澱粉類,"芋心甘藷","甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯 Sweet potato",澱粉類 淀粉类 芋心甘薯 芋心甘藷 芋心甘薯 甘藷 甘薯 番薯 番藷 番薯 甜薯 甜藷 甜薯 地瓜 田薯 田藷 田薯 土薯 土藷 土薯 紅薯 紅藷 紅薯 紫心甘薯 紫心甘藷 紫心甘薯 芋頭 仔 番藷 番薯 芋心甘藷 芋心甘薯 甘藷 甘薯 番藷 番薯 甜藷 甜薯 田藷 田薯 土藷 土薯 红薯 红藷 红薯 紫心甘藷 紫心甘薯 芋头 番藷番薯,sweet potato taro
澱粉類,"紅肉甘藷","甘薯,番薯,甜薯,地瓜,田薯,土薯 Sweet potato",澱粉類 淀粉类 紅肉甘薯 紅肉甘藷 紅肉甘薯 甘藷 甘薯 番薯 番藷 番薯 甜薯 甜藷 甜薯 地瓜 田薯 田藷 田薯 土薯 土藷 土薯 红肉甘薯 红肉甘藷 红肉甘薯 甘藷 甘薯 番藷 番薯 甜藷 甜薯 田藷 田薯 土藷土薯,sweet potato red
澱粉類,"金時甘藷","甘薯,番薯,甜薯,地瓜,田薯,土薯 Sweet potato",澱粉類 淀粉类 金時甘薯 金時甘藷 金時甘薯 甘藷 甘薯 番薯 番藷 番薯 甜薯 甜藷 甜薯 地瓜 田薯 田藷 田薯 土薯 土藷 土薯 金时甘薯 金时甘藷 金时甘薯 甘藷 甘薯 番藷 番薯 甜藷 甜薯 田藷 田薯 土藷土薯,sweet potato golden
澱粉類,"黃肉甘藷","甘薯,番薯,甜薯,地瓜,田薯,土薯 Sweet potato",澱粉類 淀粉类 黃肉甘薯 黃肉甘藷 黃肉甘薯 甘藷 甘薯 番薯 番藷 番薯 甜薯 甜藷 甜薯 地瓜 田薯 田藷 田薯 土薯 土藷 土薯 黄肉甘薯 黄肉甘藷 黄肉甘薯 甘藷 甘薯 番藷 番薯 甜藷 甜薯 田藷 田薯 土藷土薯,sweet potato yellow
澱粉類,"甘藷粉","甘薯粉,蕃薯粉,甜薯粉,地瓜粉 Sweet potato starch",澱粉類 淀粉类 甘薯粉 甘藷粉 甘薯粉 甘藷粉 甘薯粉 蕃薯粉 蕃藷粉 蕃薯粉 甜薯粉 甜藷粉 甜薯粉 地瓜粉 甘藷粉 甘薯粉 甘藷粉 甘薯粉 蕃藷粉 蕃薯粉 甜藷粉 甜薯粉,sweet potato starch flour
澱粉類,"油炸脫水甘藷"," Sweet potato: fried, dried",澱粉類 淀粉类 油炸脫水甘薯 油炸脫水甘藷 油炸脫水甘薯 油炸脱水甘薯油炸脱水甘藷油炸脱水甘薯,sweet potato fried dried dehydrated potatoes
澱粉類,"芋頭","芋頭,芋艿,芋乃,芋仔,青芋,土芝 Taro; Dasheen; Cocoyam; Eddoe",澱粉類 淀粉类 芋頭 芋艿 芋乃 芋仔 青芋 土芝 芋头,taro dasheen cocoyam eddoe
澱粉類,"小芋頭(山芋)","芋頭,芋艿,芋乃,芋仔,青芋,土芝 Taro; Dasheen; Cocoyam; Eddoe",澱粉類 淀粉类 小芋頭 山芋 芋艿 芋乃 芋仔 青芋 土芝 小芋头,taro dasheen cocoyam eddoe small (yam)
澱粉類,"檳榔心芋","芋頭,芋艿,芋乃,芋仔,青芋,土芝 Taro; Dasheen; Cocoyam; Eddoe",澱粉類 淀粉类 檳榔心芋 芋頭 芋艿 芋乃 芋仔 青芋 土芝 槟榔心芋 芋头,taro dasheen cocoyam eddoe areca
澱粉類,"檳榔心芋(2021年取樣)","芋頭,芋艿,芋乃,芋仔,青芋,土芝 Taro",澱粉類 淀粉类 檳榔心芋 年取樣 芋頭 芋艿 芋乃 芋仔 青芋 土芝 槟榔心芋 年取样 芋头,taro areca (sampled in 2021)
澱粉類,"冷凍芋頭塊"," Taro: Frozen, chunk",澱粉類 淀粉类 冷凍芋頭塊 冷冻芋头块,taro frozen chunk cubes
澱粉類,"芋頭粉"," Taro starch; Dasheen starch; Cocoyam starch",澱粉類 淀粉类 芋頭粉 芋头粉,taro starch dasheen cocoyam powder
澱粉類,"豆薯","刈薯,涼薯,葛薯,沙葛,地瓜,三角薯 Jicama; Yam bean",澱粉類 淀粉类 豆薯 豆藷 豆薯 刈薯 刈藷 刈薯 涼薯 涼藷 涼薯 葛薯 葛藷 葛薯 沙葛 地瓜 三角薯 三角藷 三角薯 豆藷 豆薯 刈藷 刈薯 凉薯 凉藷 凉薯 葛藷 葛薯 三角藷三角薯,jicama yam bean
澱粉類,"紅馬鈴薯(粉紅珍珠馬鈴薯)","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄 Potato; White potato; Irish potato",澱粉類 淀粉类 紅馬鈴薯 紅馬鈴藷 紅馬鈴薯 紅馬玲薯 紅馬鈴薯 粉紅珍珠馬鈴薯 粉紅珍珠馬鈴藷 粉紅珍珠馬鈴薯 粉紅珍珠馬玲薯 粉紅珍珠馬鈴薯 洋芋 洋薯 洋藷 洋薯 洋山芋 荷蘭薯 荷蘭藷 荷蘭薯 日本番薯 日本番藷 日本番薯 塊茄 红马铃薯 红马铃藷 红马铃薯 粉红珍珠马铃薯 粉红珍珠马铃藷 粉红珍珠马铃薯 洋藷 洋薯 荷兰薯 荷兰藷 荷兰薯 日本番藷 日本番薯 块茄,potato white irish red potatoes (pink pearl potatoes)
澱粉類,"馬鈴薯","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄 Potato; White potato; Irish potato",澱粉類 淀粉类 馬鈴薯 馬鈴藷 馬鈴薯 馬玲薯 馬鈴薯 洋芋 洋薯 洋藷 洋薯 洋山芋 荷蘭薯 荷蘭藷 荷蘭薯 日本番薯 日本番藷 日本番薯 塊茄 马铃薯 马铃藷 马铃薯 洋藷 洋薯 荷兰薯 荷兰藷 荷兰薯 日本番藷 日本番薯 块茄,potato white irish
澱粉類,"馬鈴薯(2022年取樣)","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄 Potato; White potato; Irish potato",澱粉類 淀粉类 馬鈴薯 馬鈴藷 馬鈴薯 馬玲薯 馬鈴薯 年取樣 洋芋 洋薯 洋藷 洋薯 洋山芋 荷蘭薯 荷蘭藷 荷蘭薯 日本番薯 日本番藷 日本番薯 塊茄 马铃薯 马铃藷 马铃薯 年取样 洋藷 洋薯 荷兰薯 荷兰藷 荷兰薯 日本番藷 日本番薯 块茄,potato white irish potatoes (sampled in 2022)
澱粉類,"小馬鈴薯(珍珠馬鈴薯)","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄 Potato; White potato; Irish potato",澱粉類 淀粉类 小馬鈴薯 小馬鈴藷 小馬鈴薯 小馬玲薯 小馬鈴薯 珍珠馬鈴薯 珍珠馬鈴藷 珍珠馬鈴薯 珍珠馬玲薯 珍珠馬鈴薯 洋芋 洋薯 洋藷 洋薯 洋山芋 荷蘭薯 荷蘭藷 荷蘭薯 日本番薯 日本番藷 日本番薯 塊茄 小马铃薯 小马铃藷 小马铃薯 珍珠马铃薯 珍珠马铃藷 珍珠马铃薯 洋藷 洋薯 荷兰薯 荷兰藷 荷兰薯 日本番藷 日本番薯 块茄,potato white irish small potatoes (pearl potatoes)
