Line 1,Line 2,Link
"研究：牛白血病病毒暴露與乳腺癌相關--","漢堡肉、牛乳都是可能感染源",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4557937/
"研究：以高碳水、高纖維飲食治療男性糖尿病患","High-carbohydrate, high-fiber diets for insulin-treated men with diabetes mellitus",https://doi.org/10.1093/ajcn/32.11.2312
"研究：吃過量飽和脂肪，","會增加早期死亡的風險",https://www.theguardian.com/lifeandstyle/2016/jul/05/more-saturated-fats-raises-risk-early-death-large-harvard-study
"研究：有機大豆最健康，有更多的蛋白質、鋅、糖質和纖維","Food Chemistry, Volume 153, 15 June 2014, Pages 207–215",http://dx.doi.org/10.1016/j.foodchem.2013.12.054
"研究：低脂高纖飲食和運動降低乳腺癌危險因素和腫瘤細胞生長","Effect of a Low-Fat, High-Fiber Diet and Exercise Intervention on Breast Cancer Risk Factors and Tumor Cell Growth & Apoptosis",https://doi.org/10.1207/s15327914nc5501_4
"研究：紅肉與加工肉提高結腸直腸癌的風險 ","… red meat and processed meat convincingly increases CRC risk by 20-30% …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4698595/
"【TIME】研究：鈣攝取建議量可能太高了 ","…超過 700-800 毫克，鈣似乎不再增加骨骼健康… It's all about balance.",http://healthland.time.com/2011/05/25/study-u-s-calcium-guidelines-may-be-too-high/
"研究：美國營養學會立場聲明 - ","蔬食不僅能保護環境，更能減少慢性病，如：冠心病、第二型糖尿病、高血壓、某些癌症與肥胖症。",http://dx.doi.org/10.1016/j.jand.2016.09.025
"研究：限制肉、魚、禽類攝取改善情緒","Restriction of meat, fish, and poultry in omnivores improves mood: A pilot randomized controlled trial",https://nutritionj.biomedcentral.com/articles/10.1186/1475-2891-11-9
"研究：蔬食有助於健康的情緒狀態 ","Vegetarian diets are associated with healthy mood states: a cross-sectional study in Seventh Day Adventist adults",https://nutritionj.biomedcentral.com/articles/10.1186/1475-2891-9-26
"研究：高牛奶攝入量與男女死亡率及骨折風險相關 ","Milk intake and risk of mortality and fractures in women and men: cohort stardies",http://www.bmj.com/content/349/bmj.g6015.long
"研究：高脂飲食會增加患糖尿病的風險 ","High fat diets linked to increased risk of diabetes",https://www.consumeraffairs.com/news/high-fat-diets-linked-to-increased-risk-of-diabetes-081319.html
"研究：動物蛋白(肉、蛋、奶)增加腎臟負擔 ","Dietary acid load and chronic kidney disease among adults in the United States",https://bmcnephrol.biomedcentral.com/articles/10.1186/1471-2369-15-137
"康乃爾教授二十七年研究：","動物蛋白極可能為致癌物 -- Dr. T. Colin Campbell",http://nutritionstudies.org/animal-vs-plant-protein/
"研究：動脈粥樣硬化是最容易在實驗室產生的疾病之一，但接受者必須是食草動物 ","Facts and principles learned at the 39th Annual Williamsburg Conference on Heart Disease",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603726/
"研究：許多蔬菜的鈣質比牛奶更容易吸收：51% vs 46% ","Absorbability of Calcium from Brassica Vegetables: Broccoli, Bok Choy, and Kale",https://doi.org/10.1111/j.1365-2621.1993.tb06187.x
"研究：植物性飲食減少73%新冠重症","低碳水、高蛋白飲食會提高重症率",http://dx.doi.org/10.1136/bmjnph-2021-000272
"沒喝奶也會吃到奶？台灣平均每人每年食用3公斤奶粉！","奶粉常被用於糕餅、餐飲及加工食品…",https://www.foodnext.net/science/scsource/paper/4357958091
"研究：減少攝取蛋胺酸 可抑制腫瘤 -- ","Dietary methionine influences therapy in mouse cancer models and alters human metabolism",https://health.udn.com/health/story/10561/3965404
"研究：高脂飲食與肥胖、炎症、和胰島素阻抗之間有明顯關聯","UHN scientists discover the critical role played by gut immune cells in obesity-related insulin resistance",https://www.uhn.ca/corporate/News/Pages/UHN_scientists_discover_the_critical_role_played_by_gut_immune_cells_in_obesity_related_insulin_resistance.aspx
"研究：膳食膽固醇或雞蛋攝取皆提高心血管疾病風險和整體死亡率 ","Associations of Dietary Cholesterol or Egg Consumption With Incident Cardiovascular Disease and Mortality",https://www.doi.org/10.1001/jama.2019.1572
"影片：飲食對人的影響有多大？","研究分享！人如其食-雙胞胎飲食實驗",https://youtu.be/5EPlaXFVv04
"研究：多數人認為自己是雜食動物，但基本上人類具有食草動物的生理特徵 ","Facts and principles learned at the 39th Annual Williamsburg Conference on Heart Disease",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603726/
"研究：為何攝取低鈣飲食的人群骨折較少 ？","富含水果和蔬菜的飲食有利於預防骨折",https://doi.org/10.1093/ajcn/74.5.571
"研究表明，僅是運動並不會導致體重減輕 ","The myth of ripped muscles and calorie burns",https://www.latimes.com/health/la-he-fitness-muscle-myth-20110516-story.html
"科學家推救地球健康飲食：少肉多菜就對了！ ","The EAT-Lancet Commission on Food, Planet, Health",https://eatforum.org/eat-lancet-commission/eat-lancet-commission-summary-report/
"研究：","與肉食相比，植物性飲食在歷史上更長久、更重要",https://doi.org/10.1017/S0029665199000300
"紀錄片：《飲食與健康2017》 ","What the health",https://youtu.be/iV4x7pg0bCo
"紀錄片：【你吃什麼很重要 2018】 ","H.O.P.E — What You Eat Matters",https://www.bilibili.com/video/av22983322/
"紀錄片：COWSPIRACY: The Sustainability Secret ","為何主要環保組織忽視了畜牧業、漁業，以及對動物製品的需求，是環境破壞的重要原因？",https://youtu.be/dKixulLnHBY
"紀錄片：Eating You Alive【人命牲吃】","食物是許多慢性病的病因 … 也是解藥",https://youtu.be/JEV22ioTvQc
"紀錄片：刀叉下的秘密（Forks Over Knives）","-- 讓大導演詹姆斯卡麥隆(鐵達尼、阿凡達)徹底改變飲食的紀錄片",https://v.youku.com/v_show/id_XMTc4MDUwMDE0MA==.html?spm=a2h0c.8166622.PhoneSokuUgc_2.dtitle
"紀錄片：微妙的平衡 -- 大多數人沒有意識到在吃下一塊肉時，","也吃下了森林、吃下了水資源、吃下了純淨的空氣、吃下了土地，而且數量巨大",https://www.youtube.com/watch?v=Sb2z4ieRcto
"紀錄片：盧貝松之搶救地球 -- ","大量肉食導致暖化、糧食危機！",https://www.youtube.com/watch?v=0_PpwLKN9-A
"研究：全穀類食物替代白飯，6週後改善血壓","Effect of increased consumption of whole-grain foods on blood pressure and other cardiovascular risk …",https://www.top1health.com/Article/84684
"病痛不藥而癒【植物飲食30天】","突破100%體能極限 挑戰純素食健身 得到意想不到的好處",https://youtu.be/rKjMcuLyWVM
"美國前副總統高爾，跟隨其老闆克林頓的腳步，採納了蔬食 ","Al Gore Goes Vegan, Following In Footsteps Of Bill Clinton  (National Public Radio)",http://www.npr.org/sections/thesalt/2013/11/26/247330160/al-gore-goes-vegan-following-in-footsteps-of-bill-clinton
"研究：史丹佛雙胞胎實驗表明，素食比雜食更健康","Vegan diet improves cardiometabolic outcomes compared with an omnivorous diet",https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2812392
"美國營養學會立場聲明 - 素食可滿足營養需求 ","Position of the Academy of Nutrition and Dietetics: Vegetarian Diets",http://www.twvns.org/info/story/336-andpositionvegetariandiets
"重量級拳擊手大衛·海耶（David Haye）以植物為基礎的飲食 ","Former world champion explains how heavyweight boxer David Haye can thrive on a plant-based diet",http://www.businessinsider.com/how-to-eat-like-vegan-heavyweight-boxer-david-haye-2017-2
"蔬食的網球天后 ","- 大小威廉斯姊妹 (Serena and Venus Williams) ",https://www.twvns.org/info/news/105-serena-and-venus-williams-2012
"蔬食的網球名將","- 諾瓦克·喬科維奇（Novak Djokovic）",https://www.popdaily.com.tw/forum/life/820260
"蔬食的銀幕英雄","《蝙蝠俠》克利斯汀‧貝爾(Christian Bale)、《蜘蛛人》陶比‧麥奎爾(Tobey Maguire)",http://www.godsdirectcontact.org.tw/ch/news/160/vg1.htm
"全整蔬食能給您洪荒之力！ 頂尖美式足球員","- 大衛‧卡特(David Carter)以及葛里夫‧惠倫(Griff Whalen)",http://www.nfl.com/news/story/0ap3000000711369/article/nfl-veganism-david-carter-griff-whalen-have-broken-the-mold
"娜塔莉·波曼：","從小開始素食，是學霸、影后也是許多人心中的傳奇！",https://kknews.cc/entertainment/m2rzkrp.html
"海洋死區--集約畜牧難辭其咎：","工廠化畜牧業不只傷害海洋，也傷害了土地",https://e-info.org.tw/node/103553
"破三次世界紀錄的大力士Patrik Baboumian：","純素讓我的表現變得更好，我變得更重、更壯",https://youtu.be/_d5neNRwNng
"素食運動員：","打破世界紀錄，更打破肉食神話",https://kknews.cc/sports/g56ql8.html
"脂肪比碳水化合物更容易轉為體脂肪，","碳水化合物或蛋白質轉化為脂肪儲存的效率比脂肪低10倍…How Fat Cells Work",https://science.howstuffworks.com/life/cellular-microscopic/fat-cell2.htm
"迷上素食布衣，","不老歌神張學友重回人生正軌",https://kknews.cc/entertainment/6nzkz8l.html
"堅果起司食譜 ","- 10款純素 cheese「起士」好介紹，挑動你的味蕾~",http://www.thefullhelping.com/go-to-cashew-cheese-recipe/
"補充維他命D反而有害？","一位名醫的認錯告白",https://health.udn.com/health/story/6012/3024392
"常吃止痛藥易引發腹痛、腹瀉 ","~~ 談藥物性大腸炎 (黃健明醫師)",http://www.ninebig.com/index.php/tech-area/99-2015-12-11-10-04-38
"常吃堅果可降低發炎 ","Regular nibbling on nuts linked to low inflammation",https://arynews.tv/en/regular-nibbling-nuts-linked-low-inflammation/
"張學友：","吃素上癮的「男神」",https://read01.com/Rnmjzy.html
"救命飲食 -- 營養學大師柯林‧坎貝爾的通俗著作","-- 讓大導演詹姆斯卡麥隆(鐵達尼、阿凡達)徹底改變飲食的書",https://www.books.com.tw/products/0010784048
"透過植物性飲食減輕罕見疾病、恢復健康的經歷 ","Calgary woman credits plant-based diet for reversing chronic lung disease, restoring sight",http://globalnews.ca/news/3412306/calgary-woman-credits-plant-based-diet-for-reversing-chronic-lung-disease-restoring-sight/
"這位「吃素的」格鬥家，","讓日本格鬥天王俯首稱臣",https://read01.com/QgdmkM.html
"這位網球世界冠軍想改變世界，和妻子開了家超有愛的素食餐廳！","諾瓦克·喬科維奇",https://kknews.cc/sports/v9x4ry2.html
"速成腰果起司--雲兒的部落格：","腰果、檸檬汁、營養酵母、鹽、洋蔥片、蒜粉、薑黃粉",https://apple516849.pixnet.net/blog/post/343869416
"頂尖美式足球員大衛‧卡特(David Carter) ","採納全食物蔬食",http://www.gq.com/story/vegan-diet-of-nfl-player-david-carter
"費玉清：","歌壇「老司機」，陪老父親吃素養生，活成不老傳奇！",https://read01.com/KAdkmO.html
"全食物蔬食在對抗病毒、逆轉疾病有驚人的好處！","救命飲食3.0 - - THE FUTURE Of NUTRITION",https://www.books.com.tw/products/0010919030
"飲食文化思辨：健康、永續、人道 ─","以肉為中心的飲食需要大量的土地及水資源，無法支持人類社會永續發展",https://sites.google.com/site/nutrientexplorer/Food_Choice
"飲食密碼：你所不知道的牛奶--","許多蔬食的鈣含量與吸收率勝過牛奶！",http://www.wunan.com.tw/email/EDM1010326_3Q22.htm
"飲食密碼：黃建勳醫師--","醫學之父希波克拉提希早就警告過我們：「不懂食物的人，不可能瞭解疾病」",https://www.books.com.tw/products/0010580369?sloc=main
"愛爾蘭醫生John Kelly: ","採用全食物蔬食照護癌末病人",http://nutritionstudies.org/doctor-inspired-by-the-china-study-for-his-cancer-patients/
"愛爾蘭醫生John Kelly: ","Stop Feeding Your Cancer! (停止餵你的癌症！) ",https://www.amazon.com/Stop-Feeding-Your-Cancer-Doctors/dp/0992779863
"腰果、開心果…怎分辨各類「堅果」？","看這張圖就秒懂",https://health.udn.com/health/story/6037/2995855
"影片：詹姆斯·卡麥隆 - 想對抗氣候變遷？ 停止吃肉 ！","James Cameron: Eating meat-free to save the planet",https://www.youtube.com/watch?v=g73h6fhmwQc&t=398s
"碧昂絲的培訓師Marco Borges分享了植物性食譜 ","Beyonce's Trainer, Marco Borges, Shares Plant-Based Recipes",https://youtu.be/X-ImJiohQs8
"劉德華全家素食，","女兒從娘胎裡就開始，是個「淨素寶寶」",http://www.epochtimes.com/b5/15/3/12/n4385363.htm
"影片 (NutritionFacts.org)：","我們的腸道細菌如何使用雞蛋來加速癌症 ?",https://m.youtube.com/watch?v=pKgrjQeRvb0
"影片(TED)：以營養解決醫療照護危機 ","Resolving the Health Care Crisis: T. Colin Campbel at TEDxEast",https://youtu.be/1CN7PF10RKo
"影片：紐約市長Eric Adams分享 ～ ","用全食物蔬食逆轉糖尿病",https://youtu.be/kByNmIucyOc
"影片(TED)：我們生來就該吃的食物--穀類、豆類、蔬菜 ","The food we were born to eat: John McDougall at TEDxFremont",https://youtu.be/d5wfMNNr3ak
"影片(TED)：為什麼營養科學被醫學忽略？ ","T. Colin Campbell | TEDxCornellUniversity",https://youtu.be/tmWoWOM16uE
"影片(TED)：素食與健康、地球、心靈  －","林俊龍執行長",https://youtu.be/eOO8gUShINc
"影片：紐約市亞當斯推廣健康飲食  ～  "," ～ 全食物蔬食",https://youtu.be/s3ZN5LJqUYg
"影片(TED)：讓心臟病成為歷史 ","Making Heart Attacks History: Caldwell Esselstyn at TEDxCambridge 2011",https://sites.google.com/site/nutrientexplorer/Videos/Making-Heart-Attacks-History
"影片：","菜市場博物學(二)－秒懂最佳「筍」友",https://youtu.be/1hAIz06QdKI
"影片：","CNN專訪美國前總統柯林頓的醫生們談論養生飲食法",https://m.youtube.com/watch?v=pJQWeZ4nB5I
"影片：CNN記者專訪柯林頓與他的醫生   ～  ","探討心臟病的原因和保健方式",https://m.youtube.com/watch?v=ggwJipKzzZw
"影片：素食家庭--","劉德華",https://www.youtube.com/watch?v=MeepQmMZWnI
"影片：台中榮總大腸直腸外科主任王輝明醫師主講--","如何吃的高枕無憂   ～  健康蔬食",https://www.youtube.com/watch?v=wk6bqQlQjB0
"影片：Neal Barnard, MD | A Nutritional Approach for Reversing Diabetes","逆轉糖尿病的飲食 ～ 全食物蔬食",https://youtu.be/tAiXvrIMIIE
"影片：","為什麼醫生不建議我吃純素？",https://www.youtube.com/watch?v=MehRE0UGyHQ
"影片： 《為何人們愛狗，卻吃豬、穿牛皮？》","Why We Love Dogs, Eat Pigs, and Wear Cows",https://www.youtube.com/watch?v=22D4lZA-XlY
"影片：《彼岸24》Vegan documentary《Beyond 24》","素食的24個原因，24個使命",https://youtu.be/1gFVd8RdK-Y
"影片：《食療聖經》有大量證據顯示，改變生活方式可逆轉慢性病…","但它卻被主流醫學所忽視",https://youtu.be/F3vqKZwe_r0
"影片：《The Game Changers》預告片","素食運動員打臉蛋白質神話",https://youtu.be/iSpglxHTJVM
"影片：人命牲吃 ","Eating You Alive",https://youtu.be/hJmIJd-qS50
"影片：人類真的屬於雜食性動物嗎？ ","Are Humans True Omnivores?",https://www.youtube.com/watch?v=ui4L-T6eFrw
"影片：不要油 -- 即使橄欖油！ ","No Oil -- Not Even Olive Oil! - Caldwell Esselstyn MD",https://youtu.be/b_o4YBQPKtQ
"影片：心臟病專家有兩種 ─ ","素食者與還沒看過數據的 (Kim Williams, M.D.)",https://youtu.be/X4TMsRKOe8Q
"影片：揭秘！","吃素七年產生的巨大變化跟好處！",https://youtu.be/XpfyyyJWBl8
"影片：以飲食治愈腸漏症 ","Curing Leaky Gut Syndrome - Michael Klaper MD",https://youtu.be/QRDoqS6QHQw
"影片：加拿大食物指南 鼓勵人們多吃素 ","【大千世界】健康飲食",https://youtu.be/isE4clkDz2Y
"影片：吃多少水果算過量？ ","不必過度擔心水果中的果糖！",https://youtu.be/nU_RkeA88DY
"影片：吃素兩年，出現意想不到的轉變？！－ ","倪晨曦 Miss Elvani",https://youtu.be/sqhATvUJCA0
"影片：史丹佛雙胞胎飲食實驗 -- ","純素飲食後，內臟脂肪減少了…",https://youtu.be/t24BCuXIlZI?t=634
"影片：如何預防非酒精性脂肪肝？限制汽水與肉類攝取 ","How to Prevent Non-Alcoholic Fatty Liver Disease",https://youtu.be/N2UDc0WRXvQ
"影片：如何預防糖尿病？ ","How not to die from diabetes ",https://youtu.be/tYaWLWBcSLk
"影片：MEAT AND DAIRY CAUSE CANCER","肉類和乳製品導致癌症 - Dr T. Colin Campbell 《The China Study》",https://youtu.be/QoBx97JHcKE
"影片：抗癌故事  － ","你不認識的蘇起",https://youtu.be/PIYKJkaDOj0
"影片：青花菜與十字花科蔬菜的益處 ","Broccoli - the DNA whisperer | Tom Malterre | TEDxBellingham",https://youtu.be/hmFnzc3oZ04
"影片：拯救暖化危機！立竿見影的方法是｢蔬食｣","健康、環境、動物三贏，每個人都可以做到！",https://m.youtube.com/watch?v=g1z1taw6yNw
"影片：是什麼導致胰島素抵抗？ 飽和脂肪！","Diabetes as a Disease of Fat Toxicity ",https://sites.google.com/site/nutrientexplorer/Videos/What-Causes-Insulin-Resistance-and-Diabetes
"影片：柯林頓接受CNN專訪 ","大力推薦《救命飲食》飲食方式",https://m.youtube.com/watch?v=500OI4TjC5o
"影片：柯林頓聽他話 撿回命！","只吃豆蔬果「救命飲食」-李四端的雲端世界",https://youtu.be/4vb2DBekesk
"影片：為什麼純素者不吃雞蛋和乳製品? ","Why Don't Vegans Eat Eggs or Dairy Products?",https://www.youtube.com/watch?v=MYL-ogTuCAw
"影片：蔬食的Patrik Baboumian，世界紀錄最強壯的男人：","「慈悲，就是我的力量」",https://youtu.be/l1EKZDptrPE
"影片：逆轉肝癌？","每天喝這杯…他的癌細胞、脂肪肝、發炎不見了",https://youtu.be/QquwzwzpIsM
"影片：健康就是最好的祝福！  － ","陳月卿 分享 綠拿鐵",https://youtu.be/TXbAHz0aBl4
"影片：揭露心臟病的真正原因 ─ 膽固醇 "," Kim Williams, M.D.　",https://youtu.be/q1oB569xq88
"影片：最容易導致糖尿病的不是糖!  "," Sugar didn't make you diabetic",https://www.youtube.com/watch?v=xnz3Kgnj9hI
"影片：暢銷書《食療聖經》","調整飲食能有效預防、抑制、逆轉慢性病",https://www.youtube.com/watch?v=F3vqKZwe_r0
"影片：無油沙拉醬簡易做法 "," Easy No Oil Salad Dressing - Jane Esselstyn 3-2-1 Recipe",https://youtu.be/H1aQ1kegamM
"影片：菜市場博物學（一）－ "," 秒懂黃豆黑豆毛豆的三角關係",https://youtu.be/5RdTXDGS7Xs
"影片：橄欖油並沒有比較健康 "," Olive Oil Is Not Healthy - Michael Klaper MD",https://youtu.be/OGGQxJLuVjg
"影片：糖尿病是一種脂肪中毒疾病 "," Diabetes as a Disease of Fat Toxicity",https://youtu.be/t-f9Q_-tT68
"影片：吃素降低重症風險73%! ","肉食者重症率是素食4倍",https://youtu.be/navyGVU-Ubw
"歐普拉·溫芙蕾分享她的食譜，"," 每日一餐植物性膳食，持續30天",https://www.oprahmag.com/life/food/a29473786/oprah-plant-based-diet-plan/
"衛福部健保署「健康存摺」服務："," 可以查三年內看診、領藥、檢驗紀錄，很方便。",https://myhealthbank.nhi.gov.tw/
"糖尿病有救了：藉由飲食改善糖尿病 ","  Dr. Neal Barnard's Program for Reversing Diabetes",https://www.books.com.tw/products/0010911756
"癌細胞最愛的氨基酸 「蛋氨酸」"," 大多來自什麼食物？",https://health.udn.com/health/story/6017/3468640
"關鍵飲食："," 日常動物性蛋白攝取量 就啟動癌症？",https://health.udn.com/health/story/6037/348224
"關鍵飲食："," 對抗過敏症從食物開始",https://health.udn.com/health/story/6037/348229
"關鍵飲食："," 破除奶的夢幻…牛奶容易蓄積農藥？",https://health.udn.com/health/story/6037/348226
"關鍵飲食："," 為何會有白肉優於紅肉的傳說？",https://health.udn.com/health/story/6037/348225
"關鍵飲食："," 破除蛋的美味…膽固醇含量高？",https://health.udn.com/health/story/6037/348227
"關鍵飲食："," 逆轉糖尿病的飲食療法",https://health.udn.com/health/story/6037/348228
"鐵達尼大導演卡麥隆："," 預防疾病和拯救地球的最佳答案——吃素!",https://kknews.cc/entertainment/3lb49bg.html
"肺腺癌 - 家庭「煮」婦的健康殺手："," 減少煎、炒、炸的料理方式，改以涼拌、蒸、煮、滷取代，少油更健康",https://www.lianan.com.tw/drliananepaper/Article/015-9
"蛋白質吃太少？國健署來打臉～","營養師揪5大蛋白質過量元凶",https://www.top1health.com/Article/57018
"燙青菜好健康？「水炒法」保留植物營素素 - "," 美味和健康同時上桌，就靠水炒法！先加水，最後用少量的油",https://youtu.be/Xg3RrCrqjJ8
"影片：Talks at Google 飲食與慢性病的關聯 -- ","《食療聖經》作者 Michael Greger 醫師",https://youtu.be/7rNY7xKyGCQ
"你中了嗎？","哈佛最新研究「加工紅肉與失智症有關」 ",https://udn.com/news/story/6813/8494635
"儲存型脂肪主要是飽和脂肪酸，容易堆疊和儲存… ","主要來源為動物性脂肪",https://health.tvbs.com.tw/regimen/352024
